NOME;CEP
Abadia dos Dourados;38540-000
Aguanil;37273-000
Aiuruoca;37450-000
Alagoa;37458-000
Albertina;37596-000
Alfenas;37130-001
Alfenas;37130-001
Alpinópolis;37940-000
Alterosa;37145-000
Andradas;37795-000
Andrelândia;37300-000
Araguari;38440-001
Araguari;38440-001
Arantina;37360-000
Araporã;38465-000
Arapuá;38860-000
Araxá;38180-001
Araxá;38180-001
Arceburgo;37820-000
Areado;37140-000
Arinos;38680-000
Baependi;37443-000
Bambuí;38900-000
Bandeira do Sul;37740-000
Boa Esperança;37170-000
Bocaina de Minas;37340-000
Bom Jardim de Minas;37310-000
Bom Jesus da Penha;37948-000
Bom Repouso;37610-000
Bom Sucesso;37220-000
Bonfinópolis de Minas;38650-000
Borda da Mata;37564-000
Botelhos;37720-000
Brasilândia de Minas;38779-000
Brazópolis;37530-000
Bueno Brandão;37578-000
Buritis;38660-000
Cabeceira Grande;38625-000
Cabo Verde;37880-000
Cachoeira Dourada;38370-000
Cachoeira de Minas;37545-000
Caldas;37780-000
Camanducaia;37650-000
Cambuquira;37420-000
Cambuí;37600-000
Campanha;37400-000
Campestre;37730-000
Campina Verde;38270-000
Campo Belo;37270-000
Campo Florido;38130-000
Campo do Meio;37165-000
Campos Altos;38970-000
Campos Gerais;37160-000
Cana Verde;37267-000
Candeias;37280-000
Canápolis;38380-000
Capetinga;37993-000
Capinópolis;38360-000
Capitólio;37930-000
Careaçu;37582-000
Carmo da Cachoeira;37225-000
Carmo de Minas;37472-000
Carmo do Paranaíba;38840-000
Carmo do Rio Claro;37150-000
Carneirinho;38290-000
Carrancas;37245-000
Carvalhos;37456-000
Carvalhópolis;37760-000
Cascalho Rico;38460-000
Caxambu;37440-000
Centralina;38390-000
Chapada Gaúcha;38689-000
Claraval;37997-000
Comendador Gomes;38250-000
Conceição da Aparecida;37148-000
Conceição das Alagoas;38120-000
Conceição das Pedras;37527-000
Conceição do Rio Verde;37430-000
Conceição dos Ouros;37548-000
Congonhal;37584-000
Conquista;38195-000
Consolação;37670-000
Coqueiral;37235-000
Cordislândia;37498-000
Coromandel;38550-000
Cristais;37275-000
Cristina;37476-000
Cruzeiro da Fortaleza;38735-000
Cruzília;37445-000
Cássia;37980-000
Córrego Danta;38990-000
Córrego do Bom Jesus;37605-000
Delfim Moreira;37514-000
Delfinópolis;37910-000
Delta;38108-000
Divisa Nova;37142-000
Dom Bosco;38654-000
Dom Viçoso;37474-000
Doresópolis;37926-000
Douradoquara;38530-000
